Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min
D.Va,Diamond,5.47,"5.11","52.64",18.81,5.57,120,7726,,6.22
D.Va,Master,5.44,"5.46","51.32",18.61,5.57,121,7660,,6.24
D.Va,Grandmaster,5.42,"5.63","51.26",18.50,5.60,121,7596,,6.29
Roadhog,All,3.74,"1.80","47.47",18.22,8.28,121,7939,,6.74
Roadhog,Bronze,3.67,"2.11","42.41",17.44,8.21,128,7605,,6.71
Roadhog,Silver,3.65,"2.27","45.73",17.36,8.24,131,7690,,6.61
Roadhog,Gold,3.80,"2.08","45.83",18.00,8.29,120,7878,,6.68
Roadhog,Platinum,3.73,"2.33","41.60",17.48,8.14,126,7676,,6.70
Roadhog,Diamond,3.73,"2.39","44.46",17.69,8.17,124,7740,,6.61
Roadhog,Master,3.66,"2.63","43.98",17.53,8.17,126,7632,,6.76
Roadhog,Grandmaster,3.69,"2.69","42.27",17.31,8.17,128,7610,,6.64
Junkrat,All,2.78,"1.94","52.75",18.15,7.08,53,8527,,8.54
Junkrat,Bronze,2.45,"2.03","50.13",16.71,6.80,54,7918,,9.28
Junkrat,Silver,2.66,"2.22","50.96",17.91,7.14,56,8292,,8.65
Junkrat,Gold,2.80,"2.44","54.20",17.90,6.95,48,8397,,8.66
Junkrat,Platinum,2.59,"2.02","51.73",17.19,6.94,51,8082,,8.95
Junkrat,Diamond,2.66,"1.92","52.36",17.31,6.87,49,8120,,8.86
Junkrat,Master,2.55,"1.99","51.86",17.05,6.81,51,7961,,9.06
Junkrat,Grandmaster,2.55,"2.33","51.58",17.02,6.86,51,7956,,9.06
Tracer,All,2.47,"0.89","52.17",17.53,6.82,64,6490,,8.19
Tracer,Bronze,2.02,"0.43","35.72",15.12,6.59,67,5899,,9.01
Tracer,Silver,2.45,"0.53","46.80",16.94,6.34,67,6401,,8.50
Tracer,Gold,2.27,"0.86","50.19",16.68,7.15,67,6159,,8.57
Tracer,Platinum,2.33,"0.89","48.59",16.80,7.06,70,6187,,8.68
Tracer,Diamond,2.42,"0.84","47.50",17.26,7.11,71,6367,,8.54
Tracer,Master,2.20,"0.60","41.83",15.99,6.77,71,6100,,8.89
Tracer,Grandmaster,2.15,"0.52","38.24",15.72,6.89,73,5952,,9.08
Ashe,All,2.47,"1.84","50.73",16.52,6.27,50,7999,,8.19
Ashe,Bronze,2.17,"1.18","45.45",15.09,6.19,57,7463,,8.75
Ashe,Silver,2.14,"1.29","48.10",15.36,6.00,56,7453,,8.71
Ashe,Gold,2.55,"1.66","50.11",16.56,6.59,52,7929,,8.20
Ashe,Platinum,2.34,"1.77","51.06",16.33,6.30,54,7969,,8.43
Ashe,Diamond,2.29,"2.50","48.44",15.87,6.34,57,7904,,8.46
Ashe,Master,2.21,"1.29","45.66",15.62,6.31,57,7701,,8.67
Ashe,Grandmaster,2.20,"1.37","46.07",15.46,6.33,58,7591,,8.71
Orisa,All,3.27,"2.02","48.17",16.96,7.86,125,8900,,7.43
Orisa,Bronze,2.95,"3.09","44.50",15.55,7.81,124,8383,,7.80
Orisa,Silver,3.18,"2.72","44.59",16.69,8.16,126,8757,,7.55
Orisa,Gold,3.34,"2.61","47.99",16.84,7.90,125,8899,,7.44
Orisa,Platinum,3.18,"3.26","46.67",16.37,7.85,120,8673,,7.60
Orisa,Diamond,3.23,"3.53","48.85",16.65,8.05,123,8658,,7.66
Orisa,Master,3.19,"3.35","44.97",16.54,8.25,121,8636,,7.66
Orisa,Grandmaster,3.14,"3.92","45.48",16.23,8.07,123,8577,,7.69
Zarya,All,4.24,"3.82","50.83",19.12,8.94,128,8537,,6.49
Zarya,Bronze,3.94,"3.86","44.20",17.39,8.35,127,8180,,6.65
Zarya,Silver,4.00,"3.73","46.31",18.16,8.66,130,8345,,6.58
Zarya,Gold,4.12,"4.20","49.44",18.28,8.64,127,8397,,6.50
Zarya,Platinum,4.06,"4.65","45.00",17.93,8.55,125,8376,,6.54
Zarya,Diamond,4.08,"5.08","46.94",17.97,8.56,126,8474,,6.54
Zarya,Master,3.96,"4.82","45.70",17.50,8.39,126,8332,,6.57
Zarya,Grandmaster,3.94,"4.76","43.46",17.37,8.36,127,8272,,6.60
Reaper,All,2.53,"3.08","50.50",19.13,7.77,76,7671,,8.38
Reaper,Bronze,2.26,"2.44","37.19",17.21,7.59,79,7042,,8.95
Reaper,Silver,2.37,"2.74","46.02",18.00,7.58,78,7239,,8.71
Reaper,Gold,2.39,"3.53","48.65",18.45,7.43,76,7505,,8.71
Reaper,Platinum,2.25,"3.35","44.24",17.35,7.50,78,7131,,8.98
Reaper,Diamond,2.19,"2.51","37.37",16.97,7.27,77,7050,,9.05
Reaper,Master,2.17,"2.45","38.06",16.87,7.30,78,6975,,9.13
Reaper,Grandmaster,2.17,"2.75","36.46",16.82,7.30,78,6951,,9.14
Sojourn,All,2.75,"4.67","48.37",17.45,6.99,60,7818,,8.28
Sojourn,Bronze,2.33,"2.97","37.05",15.11,6.37,59,7211,,8.83
Sojourn,Silver,2.56,"3.07","44.15",16.36,6.74,60,7568,,8.49
Sojourn,Gold,2.67,"3.62","43.46",16.71,6.63,61,7629,,8.45
Sojourn,Platinum,2.52,"4.18","45.79",16.19,6.62,58,7468,,8.61
Sojourn,Diamond,2.52,"6.64","45.91",15.89,6.43,57,7432,,8.58
Sojourn,Master,2.47,"4.39","46.14",15.65,6.45,58,7376,,8.66
Sojourn,Grandmaster,2.41,"3.41","39.00",15.35,6.34,59,7289,,8.75
Pharah,All,2.77,"1.17","50.48",21.08,7.03,42,8690,,9.07
Pharah,Bronze,2.51,"1.36","41.22",18.67,6.78,45,8099,,9.44
Pharah,Silver,2.60,"1.68","49.20",19.84,6.79,44,8253,,9.23
